,elder,asiatic,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number
1794,1615.0,162.0,8989.0,6420.0,1896.0,2775.0,679.0
1795,11827.0,3945.0,54115.0,38584.0,9523.0,12988.0,3661.0
1796,4185.0,4656.0,14889.0,11611.0,2198.0,3473.0,1179.0
1797,6121.0,1381.0,32076.0,22425.0,5179.0,7489.0,1857.0
1798,1459.0,54.0,6555.0,4693.0,1421.0,1718.0,461.0
1799,16592.0,13361.0,97459.0,78696.0,14993.0,21808.0,5627.0
1800,6002.0,330.0,29414.0,21056.0,5761.0,7597.0,1886.0
1801,185.0,7.0,605.0,426.0,122.0,182.0,49.0
1802,1176.0,79.0,4953.0,3667.0,897.0,1467.0,371.0
1803,16663.0,81265.0,81304.0,68286.0,11928.0,22002.0,5955.0
1804,3935.0,713.0,21406.0,15535.0,4474.0,5856.0,1493.0
1805,1838.0,31.0,7792.0,5530.0,1816.0,2209.0,570.0
1806,5337.0,928.0,24277.0,18413.0,5173.0,6811.0,1708.0
1807,601.0,14.0,2573.0,1825.0,690.0,796.0,195.0
1808,8605.0,3347.0,43683.0,34621.0,7286.0,11651.0,3053.0
1809,3507.0,131.0,16535.0,12723.0,3597.0,4476.0,1107.0
1810,7538.0,600.0,33996.0,24315.0,7160.0,9188.0,2380.0
1811,2776.0,1003.0,16314.0,12525.0,2986.0,4021.0,1019.0
1812,5533.0,1884.0,31737.0,24098.0,5513.0,6996.0,2049.0
1813,8867.0,14907.0,64988.0,55102.0,9493.0,16030.0,4282.0
1814,1875.0,167.0,11822.0,9181.0,2350.0,3681.0,859.0
1815,1774.0,97.0,6897.0,4763.0,1505.0,1911.0,528.0
1816,708.0,100.0,3195.0,2622.0,488.0,744.0,215.0
1817,236.0,52.0,1453.0,1155.0,221.0,368.0,97.0
1818,729.0,251.0,6468.0,4850.0,1142.0,1756.0,423.0
1819,755.0,67.0,3555.0,2524.0,789.0,1220.0,296.0
1820,3529.0,813.0,17086.0,13963.0,2983.0,4511.0,1151.0
1821,2085.0,148.0,10576.0,7532.0,2480.0,2845.0,755.0
1822,25001.0,3383.0,149238.0,115484.0,21619.0,53095.0,12401.0
1823,4132.0,837.0,22978.0,16766.0,3855.0,5326.0,1424.0
1824,183.0,2.0,533.0,407.0,115.0,171.0,52.0
1825,1896.0,32.0,10735.0,7770.0,2707.0,3096.0,671.0
1826,1532.0,118.0,6011.0,4280.0,1270.0,1533.0,441.0
1827,3553.0,319.0,17230.0,12332.0,3566.0,4115.0,1140.0
1828,11646.0,3394.0,75284.0,56151.0,12334.0,19810.0,4691.0
1829,858.0,47.0,3801.0,3052.0,641.0,914.0,267.0
1830,1304.0,106.0,6337.0,4565.0,1265.0,2025.0,503.0
1831,474.0,27.0,2228.0,1685.0,372.0,705.0,174.0
1832,4203.0,307.0,22535.0,18275.0,4567.0,5334.0,1455.0
1833,24466.0,11330.0,87874.0,63417.0,14700.0,22537.0,6945.0
1834,326.0,20.0,1375.0,951.0,276.0,381.0,100.0
1835,35678.0,6363.0,121516.0,87148.0,26088.0,38342.0,10065.0
1836,372.0,28.0,1476.0,1093.0,261.0,436.0,122.0
1837,4358.0,392.0,19135.0,13907.0,3686.0,5416.0,1400.0
1838,1235.0,84.0,5269.0,4266.0,956.0,1339.0,404.0
1839,1557.0,37.0,4721.0,3322.0,1067.0,1540.0,407.0
1840,2734.0,122.0,9014.0,6923.0,1941.0,2417.0,732.0
1841,2835.0,88.0,11769.0,8227.0,2540.0,3353.0,814.0
1842,4686.0,366.0,12800.0,9068.0,3030.0,4098.0,1130.0
1843,4872.0,463.0,17704.0,12677.0,3742.0,4706.0,1318.0
1844,2177.0,169.0,10587.0,7499.0,2702.0,3091.0,779.0
1845,357.0,72.0,2178.0,1650.0,377.0,577.0,168.0
1846,1177.0,61.0,3588.0,2793.0,642.0,1008.0,291.0
1847,3193.0,756.0,17808.0,13108.0,3306.0,5419.0,1319.0
1848,864.0,23.0,3388.0,2386.0,908.0,1029.0,274.0
1849,503.0,27.0,1962.0,1571.0,384.0,559.0,148.0
1850,610.0,48.0,2809.0,2232.0,388.0,653.0,183.0
1851,1818.0,83.0,6368.0,4502.0,1352.0,2006.0,514.0
1852,669.0,191.0,2931.0,2366.0,448.0,726.0,222.0
1853,2351.0,127.0,9889.0,7161.0,1959.0,3294.0,810.0
1854,33576.0,8203.0,187428.0,151828.0,34844.0,54466.0,12591.0
1855,8719.0,6876.0,55106.0,41424.0,9275.0,14475.0,3551.0
1856,11805.0,5270.0,58169.0,48519.0,8426.0,13153.0,3731.0
1857,6563.0,1651.0,34837.0,24470.0,7307.0,10829.0,2634.0
1858,3000.0,262.0,13891.0,10625.0,2559.0,3857.0,984.0
1859,2284.0,363.0,10360.0,7959.0,1465.0,2466.0,722.0
1860,2862.0,249.0,14635.0,10951.0,3141.0,4584.0,1165.0
1861,1632.0,127.0,9752.0,7476.0,2179.0,2594.0,580.0
1862,23488.0,8110.0,77011.0,52362.0,15354.0,20588.0,5862.0
1863,1362.0,49.0,5988.0,4341.0,1269.0,1515.0,432.0
1864,49816.0,8954.0,146508.0,90043.0,32144.0,43242.0,12242.0
1865,458.0,53.0,1781.0,1438.0,335.0,486.0,131.0
1866,1621.0,1174.0,8138.0,6712.0,1101.0,1858.0,546.0
1867,3273.0,215.0,15900.0,10677.0,3458.0,4030.0,986.0
1868,666.0,130.0,3626.0,2705.0,767.0,1106.0,272.0
1869,3527.0,1367.0,16593.0,13292.0,2210.0,3709.0,1104.0
1870,2246.0,207.0,10519.0,8374.0,1603.0,2224.0,674.0
1871,891.0,36.0,3468.0,2525.0,770.0,942.0,250.0
1872,7759.0,731.0,27702.0,20750.0,6049.0,7275.0,2188.0
1873,2938.0,209.0,13722.0,10650.0,2798.0,3637.0,918.0
1874,1149.0,35.0,4336.0,2882.0,1105.0,1325.0,345.0
1875,469.0,13.0,1608.0,1131.0,335.0,543.0,140.0
1876,2337.0,152.0,9756.0,6778.0,1991.0,2430.0,696.0
1877,675.0,25.0,2695.0,2103.0,479.0,699.0,199.0
1878,3164.0,199.0,11538.0,8619.0,2415.0,2923.0,873.0
1879,7880.0,10805.0,43770.0,35527.0,5958.0,10829.0,3032.0
1880,645.0,2968.0,3603.0,2551.0,568.0,945.0,239.0
1881,959.0,35.0,4417.0,3160.0,1044.0,1319.0,339.0
1882,1305.0,62.0,6016.0,5111.0,999.0,1468.0,412.0
1883,5585.0,638.0,23148.0,18404.0,4808.0,5951.0,1656.0
1884,21370.0,3424.0,75893.0,55259.0,15322.0,21297.0,6003.0
1885,4192.0,855.0,28400.0,22528.0,4493.0,7566.0,1859.0
1886,4026.0,295.0,21940.0,17024.0,4178.0,5350.0,1303.0
1887,1470.0,40.0,5201.0,3539.0,1305.0,1600.0,430.0
1888,1118.0,44.0,6115.0,4530.0,1292.0,1571.0,407.0
1889,651.0,45.0,2544.0,1997.0,435.0,679.0,179.0
1890,1140.0,77.0,4614.0,3889.0,799.0,1250.0,314.0
1891,803.0,44.0,3581.0,2644.0,533.0,787.0,227.0
1892,2966.0,960.0,16901.0,13931.0,2970.0,3723.0,1030.0
1893,34684.0,16663.0,212754.0,166803.0,35576.0,67471.0,17034.0
1894,712.0,36.0,3172.0,2260.0,732.0,1252.0,305.0
1895,3810.0,216.0,14268.0,11838.0,2549.0,3703.0,1084.0
1896,206.0,4.0,675.0,489.0,109.0,181.0,55.0
1897,8354.0,6602.0,54485.0,46418.0,6603.0,10957.0,3235.0
1898,2617.0,119.0,11719.0,7844.0,2638.0,3264.0,818.0
1899,5132.0,421.0,20437.0,14998.0,4173.0,6154.0,1606.0
1900,10033.0,3760.0,43540.0,36276.0,6296.0,10300.0,3228.0
1901,292.0,8.0,1057.0,812.0,185.0,281.0,74.0
1902,1464.0,168.0,6361.0,4685.0,986.0,1501.0,431.0
1903,4381.0,459.0,19722.0,16896.0,2950.0,4299.0,1292.0
1904,6268.0,938.0,34525.0,24693.0,5901.0,9428.0,2328.0
1905,259.0,5.0,944.0,767.0,156.0,230.0,68.0
1906,22456.0,8123.0,135074.0,110135.0,17186.0,38131.0,9070.0
1907,2964.0,409.0,21160.0,16941.0,2701.0,7131.0,1632.0
1908,1854.0,437.0,14072.0,11314.0,2159.0,3867.0,920.0
1909,19241.0,2729.0,96548.0,69453.0,17053.0,22006.0,6269.0
1910,1028.0,338.0,3999.0,2868.0,1023.0,1305.0,329.0
1911,8410.0,708.0,34665.0,25531.0,6987.0,9794.0,2469.0
1912,2183.0,114.0,9767.0,6542.0,2229.0,2743.0,640.0
1913,3049.0,309.0,13482.0,10720.0,2943.0,3774.0,964.0
1914,454.0,163.0,2346.0,1673.0,402.0,562.0,153.0
1915,670.0,28.0,2441.0,1927.0,464.0,642.0,197.0
1916,68032.0,164041.0,262835.0,197204.0,37259.0,84078.0,21297.0
1917,2938.0,270.0,13661.0,10113.0,2481.0,3596.0,932.0
1918,688.0,191.0,3005.0,2150.0,537.0,1213.0,302.0
1919,3766.0,601.0,16954.0,12779.0,3499.0,4343.0,1182.0
1920,2974.0,584.0,19575.0,15104.0,3075.0,4837.0,1164.0
1921,3806.0,704.0,15675.0,12180.0,2322.0,3899.0,1118.0
